name,amenity,leisure,longitude,latitude
,place_of_worship,,28.800298668867004,41.02669906593111
,place_of_worship,,28.800388464818177,41.02259962277445
Maslak Çeşme Ulu Camii,place_of_worship,,28.797924599999998,41.01963670000001
,place_of_worship,,28.794602764867435,41.01767292091684
,place_of_worship,,28.798474249999998,41.012181399999996
Cennet Mahallesi Cami,place_of_worship,,28.77881350653979,40.987442881602796
,place_of_worship,,28.7854818,40.98713604999999
Seyran Camii,place_of_worship,,28.787786297878764,40.99389878385692
Sefaköy Gültepe Fatih Cami,place_of_worship,,28.792314870537112,40.99527174545344
Sultan Murat Merkez Camii,place_of_worship,,28.785833403500725,41.00191983547791
,place_of_worship,,28.79810437464508,41.060486739326244
,place_of_worship,,28.790559895748835,41.07521011783833
,place_of_worship,,28.779845119285618,41.07879758227884
,place_of_worship,,28.782877450000004,41.055871200000006
Süleyman Çelebi Camii,place_of_worship,,28.80026466778955,41.10528180405587
Tunahan Camii,place_of_worship,,28.809499607204387,41.10911523229006
Demirciler Kooperatif Cami,place_of_worship,,28.805791189225907,41.069368786090365
,place_of_worship,,28.801461891857358,41.05383914490688
,place_of_worship,,28.80305085121299,41.01651981584077
,place_of_worship,,28.806337422818377,41.01268235155905
,place_of_worship,,28.784904101122827,41.008001488837344
Abdüsselam Camii,place_of_worship,,28.77250890230695,40.99194008251321
Mecidiye Camii,place_of_worship,,28.831313195956614,40.96054171817375
,place_of_worship,,28.83242032156881,41.00824143895372
,place_of_worship,,28.8313366,41.011348749999996
,place_of_worship,,28.83642601425477,41.02817393909839
Yeni Camii,place_of_worship,,28.834660528184653,41.027750937396895
,place_of_worship,,28.84304506891718,41.037701555916804
,place_of_worship,,28.83041823391761,41.042260242503005
,place_of_worship,,28.856816956301106,41.05735262900028
,place_of_worship,,28.864295377305602,41.05791425747484
Turgut Reis Camii,place_of_worship,,28.868302551112254,41.062195143593264
Mimar Sinan Cami,place_of_worship,,28.88855124487766,41.076158417835344
Hızır Camii,place_of_worship,,28.897405241887963,41.08455596897156
İsmail Ağa Camii,place_of_worship,,28.8931406,41.095062399999996
Mehmet Akif Ersoy Camii,place_of_worship,,28.916152503594265,41.089449582948504
Mevlana Camii,place_of_worship,,28.939667397429503,41.08213036756726
Alibeyköy Çırçır Camii,place_of_worship,,28.941488401710647,41.07706025980631
Kumbarhane Cami,place_of_worship,,28.943094318720053,41.04608498447981
Halil Rıfat Paşa Cami,place_of_worship,,28.968447793445062,41.05770898948933
Kuba Camii,place_of_worship,,28.59403726030013,41.01797163861318
,place_of_worship,,28.610038734246416,40.99350348073385
,place_of_worship,,28.648362300000002,41.043024200000005
,place_of_worship,,28.659199967828357,41.03209955445201
,place_of_worship,,28.661752411984526,41.03099524290473
İmam Hasan Cami,place_of_worship,,28.66456015382622,41.033016592048504
,place_of_worship,,28.66987770805768,41.03773937331637
Cami,place_of_worship,,28.67915455,41.027310899999996
,place_of_worship,,28.70568951808937,41.00166255232342
Kevser Cami,place_of_worship,,28.705281686943337,41.016977760480586
,place_of_worship,,28.793548146110897,40.99893181799918
Sefaköy Çarşı Camii,place_of_worship,,28.79846561808589,41.00318236948606
,place_of_worship,,28.819220816911436,41.042848916169746
Hz. Abuzer Camii,place_of_worship,,28.845606877473347,41.04510062984781
Mehmet Akif Camii,place_of_worship,,28.848981307917306,41.04867857924062
,place_of_worship,,28.88209125040471,41.04881894425502
,place_of_worship,,28.878992717246483,41.05510375816599
Silahtar Uğur Camii,place_of_worship,,28.937458366452354,41.0613602017108
,place_of_worship,,28.995695720267307,41.06209676511321
Filiz Camiİ,place_of_worship,,28.9932698052103,41.07644422354062
Esenkent Merkez Camii,place_of_worship,,29.16256949074472,40.925294041829574
Emek Camii,place_of_worship,,29.117317708253314,40.95072754815647
Emin Ali Paşa Camii,place_of_worship,,29.093134250000002,40.96052400000001
Mazharbey Hüseyin Avni Çeviköz Camii,place_of_worship,,29.05992601546721,40.98453038610213
Ehli Beyt Camii,place_of_worship,,28.903131499999997,41.08212475
Giyim Kooperatifi Cami,place_of_worship,,28.874259049999996,41.0718791
Beykent Camii,place_of_worship,,28.623068550000003,41.016248700000006
Kavaklı Yeni Camii,place_of_worship,,28.637842396573355,40.98114861739472
Marmara Evleri Camisi,place_of_worship,,28.67723259175951,40.97672331929104
,place_of_worship,,28.742302799999997,40.979467
,place_of_worship,,28.743550500000005,40.982672050000005
Yeşiltepe Camii,place_of_worship,,28.937511233331122,41.07879169719474
,place_of_worship,,28.976052777906038,41.06248703767173
Ortabayır Cami,place_of_worship,,29.005082995896764,41.07823841808236
Aydınlar Camii,place_of_worship,,29.00557788224825,41.08205764448915
Hacı Ömer Camii,place_of_worship,,29.29007628267425,40.94826484527967
Hazreti Halid Bin Velid Cami,place_of_worship,,29.281938045041027,40.947601368226756
Eyyübi Cami,place_of_worship,,29.27947856844742,40.949598954278414
Uhud Cami,place_of_worship,,29.27492508718189,40.945376996501984
Hazreti Ali Cami,place_of_worship,,29.27148229918744,40.9445851670284
Sultan Murat Cami,place_of_worship,,29.271162330311423,40.94134799220936
,place_of_worship,,29.27381537802965,40.93578569079764
Hazreti Bilal Habeşi Cami,place_of_worship,,29.28231248355413,40.93551419240649
Orhangazi Camii,place_of_worship,,29.292271553089428,40.93803393210482
Bahçelievler Merkez Camii,place_of_worship,,29.286669400000005,40.93870545000001
Cem Sultan Camii,place_of_worship,,29.300137382133066,40.94189999356108
Prof.Dr.Ahmet Hamdi Turgut Camii,place_of_worship,,29.297683454709393,40.90710893141382
Mevlana Cami,place_of_worship,,29.268604149999998,40.89514184999999
,place_of_worship,,29.270115604343165,40.890338582432605
Yavuz Selim Cami,place_of_worship,,29.273070199999992,40.88780259999999
Hazreti Ebubekir Cami,place_of_worship,,29.272880303283944,40.8815815316842
Kaynarca Merkez Camii,place_of_worship,,29.269724999999998,40.8781529
,place_of_worship,,29.27347298125995,40.87073439543098
Çamçeşme Osmaniye Cami,place_of_worship,,29.27632455,40.87545340000001
Kavakpınar Merkez Camii,place_of_worship,,29.286072233790726,40.880337177079745
Şirintepe Camii,place_of_worship,,29.287449149999997,40.885383350000005
Nasrullah Cami,place_of_worship,,29.29063435420252,40.87726338232312
,place_of_worship,,29.28373807775652,40.87106927378553
,place_of_worship,,29.29533919454032,40.871164798839196
Muhammed Emin Camii,place_of_worship,,29.30723425531023,40.84596268269907
Küçük Ayasofya Camii,place_of_worship,,28.97220631468491,41.002744777510635
,place_of_worship,,29.25529517656754,41.018078717964386
,place_of_worship,,29.252657095782446,41.0113497947807
Bilal-i Habeşi Cami,place_of_worship,,29.257027235707614,41.00744780925578
,place_of_worship,,29.256802269286002,41.00249304122976
,place_of_worship,,29.25304573192992,41.00271744557565
,place_of_worship,,29.244735594931385,40.9904303684318
Alaattin Camii,place_of_worship,,29.247770649999996,40.986663099999994
Akşemsettin,place_of_worship,,29.23682882470141,40.97258616733917
,place_of_worship,,29.227299493932364,40.96621291782963
Bahçeköy Merkez Camii,place_of_worship,,28.992987700000004,41.178886500000004
Kazım Karabekir Mh. Orta Camii,place_of_worship,,29.025946858665105,41.159461015650784
PTT Evleri Garipler Camii,place_of_worship,,29.02298535407686,41.156952204224524
Cami,place_of_worship,,29.03281545,41.146550250000004
,place_of_worship,,29.038611048911836,41.14321505552148
,place_of_worship,,29.04440652347913,41.14357433711857
,place_of_worship,,29.049787080245935,41.14075025048061
Tarabya Merkez Camii,place_of_worship,,29.053268612234117,41.13823486795188
,place_of_worship,,29.048293589816826,41.1371281626853
