latitude,longitude,target_id,name,cafe_main_count,hospital_main_count,station_main_count,supermarket_main_count,score_total,score_breakdown
41.02491452972964,28.906916738142424,cell_003419,cell_003419,3,2,2,12,47.8937154499265,"{""cafe_main"": 6.321205588285577, ""hospital_main"": 9.731657619348159, ""station_main"": 7.298743214511119, ""supermarket_main"": 24.542109027781645}"
41.00689651171163,28.859085794939983,cell_003147,cell_003147,8,3,1,6,47.816224924820986,"{""cafe_main"": 9.305165487771985, ""hospital_main"": 12.642411176571153, ""station_main"": 4.252030341393161, ""supermarket_main"": 21.616617919084682}"
41.02491452972964,29.02649409614853,cell_003429,cell_003429,12,1,2,37,47.78485055113474,"{""cafe_main"": 9.816843611112658, ""hospital_main"": 5.669373788524215, ""station_main"": 7.298743214511119, ""supermarket_main"": 24.99988993698675}"
40.97086047567561,29.253691076360127,cell_002644,cell_002644,6,4,0,11,47.73566607515665,"{""cafe_main"": 8.646647167633873, ""hospital_main"": 14.728057237685466, ""station_main"": 0.0, ""supermarket_main"": 24.360961669837312}"
40.934824439639584,29.122155982553412,cell_002097,cell_002097,12,1,2,18,47.72299180973133,"{""cafe_main"": 9.816843611112658, ""hospital_main"": 5.669373788524215, ""station_main"": 7.298743214511119, ""supermarket_main"": 24.938031195583342}"
40.97986948468461,28.883001266541203,cell_002747,cell_002747,8,1,3,8,47.71926137815453,"{""cafe_main"": 9.305165487771985, ""hospital_main"": 5.669373788524215, ""station_main"": 9.481808382428365, ""supermarket_main"": 23.262913719429964}"
41.05194155675666,28.847128059139372,cell_003816,cell_003816,6,2,1,17,47.543850694963574,"{""cafe_main"": 8.646647167633873, ""hospital_main"": 9.731657619348159, ""station_main"": 4.252030341393161, ""supermarket_main"": 24.91351556658838}"
40.98887849369362,29.05040956774975,cell_002895,cell_002895,15,3,0,19,47.53062911793694,"{""cafe_main"": 9.932620530009146, ""hospital_main"": 12.642411176571153, ""station_main"": 0.0, ""supermarket_main"": 24.955597411356642}"
41.00689651171163,28.918874473943035,cell_003152,cell_003152,15,3,0,17,47.48854727316868,"{""cafe_main"": 9.932620530009146, ""hospital_main"": 12.642411176571153, ""station_main"": 0.0, ""supermarket_main"": 24.91351556658838}"
41.03392353873865,28.966705417145477,cell_003558,cell_003558,29,1,2,11,47.328445065811906,"{""cafe_main"": 9.999366392939255, ""hospital_main"": 5.669373788524215, ""station_main"": 7.298743214511119, ""supermarket_main"": 24.360961669837312}"
40.889779394594555,29.181944661556464,cell_001432,cell_001432,6,2,2,6,47.29366592057784,"{""cafe_main"": 8.646647167633873, ""hospital_main"": 9.731657619348159, ""station_main"": 7.298743214511119, ""supermarket_main"": 21.616617919084682}"
41.02491452972964,29.01453636034792,cell_003428,cell_003428,8,1,2,22,47.256947691310636,"{""cafe_main"": 9.305165487771985, ""hospital_main"": 5.669373788524215, ""station_main"": 7.298743214511119, ""supermarket_main"": 24.983665200503317}"
40.98887849369362,29.146071454154633,cell_002903,cell_002903,10,1,2,12,47.153486097344455,"{""cafe_main"": 9.643260066527477, ""hospital_main"": 5.669373788524215, ""station_main"": 7.298743214511119, ""supermarket_main"": 24.542109027781645}"
41.05194155675666,28.83517032333876,cell_003815,cell_003815,5,2,1,19,47.050529343722346,"{""cafe_main"": 8.111243971624383, ""hospital_main"": 9.731657619348159, ""station_main"": 4.252030341393161, ""supermarket_main"": 24.955597411356642}"
41.02491452972964,29.09824051095219,cell_003435,cell_003435,7,1,2,26,46.99409151799226,"{""cafe_main"": 9.03028032135595, ""hospital_main"": 5.669373788524215, ""station_main"": 7.298743214511119, ""supermarket_main"": 24.99569419360098}"
40.87176137657654,29.229775604758906,cell_001168,cell_001168,10,2,1,8,46.88986174669876,"{""cafe_main"": 9.643260066527477, ""hospital_main"": 9.731657619348159, ""station_main"": 4.252030341393161, ""supermarket_main"": 23.262913719429964}"
40.889779394594555,29.253691076360127,cell_001438,cell_001438,9,1,2,11,46.831207989194006,"{""cafe_main"": 9.50212931632136, ""hospital_main"": 5.669373788524215, ""station_main"": 7.298743214511119, ""supermarket_main"": 24.360961669837312}"
40.997887502702625,29.05040956774975,cell_003029,cell_003029,7,1,2,13,46.67030410596776,"{""cafe_main"": 9.03028032135595, ""hospital_main"": 5.669373788524215, ""station_main"": 7.298743214511119, ""supermarket_main"": 24.671906781576475}"
40.889779394594555,29.229775604758906,cell_001436,cell_001436,2,2,2,14,46.661140579745975,"{""cafe_main"": 4.865828809674079, ""hospital_main"": 9.731657619348159, ""station_main"": 7.298743214511119, ""supermarket_main"": 24.764910936212623}"
41.042932547747654,28.859085794939983,cell_003683,cell_003683,5,2,1,12,46.637040960147345,"{""cafe_main"": 8.111243971624383, ""hospital_main"": 9.731657619348159, ""station_main"": 4.252030341393161, ""supermarket_main"": 24.542109027781645}"
40.9618514666666,29.253691076360127,cell_002510,cell_002510,4,4,0,12,46.63419488430985,"{""cafe_main"": 7.364028618842733, ""hospital_main"": 14.728057237685466, ""station_main"": 0.0, ""supermarket_main"": 24.542109027781645}"
41.07896858378368,28.930832209743645,cell_004225,cell_004225,6,1,2,23,46.603059775377886,"{""cafe_main"": 8.646647167633873, ""hospital_main"": 5.669373788524215, ""station_main"": 7.298743214511119, ""supermarket_main"": 24.988295604708682}"
40.98887849369362,29.1101982467528,cell_002900,cell_002900,7,3,0,15,46.50424282294997,"{""cafe_main"": 9.03028032135595, ""hospital_main"": 12.642411176571153, ""station_main"": 0.0, ""supermarket_main"": 24.831551325022865}"
41.00689651171163,28.966705417145477,cell_003156,cell_003156,56,1,2,8,46.231030644271975,"{""cafe_main"": 9.999999921806676, ""hospital_main"": 5.669373788524215, ""station_main"": 7.298743214511119, ""supermarket_main"": 23.262913719429964}"
41.015905520720636,29.08628277515158,cell_003300,cell_003300,5,1,2,31,46.07854771288041,"{""cafe_main"": 8.111243971624383, ""hospital_main"": 5.669373788524215, ""station_main"": 7.298743214511119, ""supermarket_main"": 24.999186738220686}"
41.015905520720636,29.05040956774975,cell_003297,cell_003297,3,3,1,7,45.79134790963977,"{""cafe_main"": 6.321205588285577, ""hospital_main"": 12.642411176571153, ""station_main"": 4.252030341393161, ""supermarket_main"": 22.57570080338987}"
41.015905520720636,28.894959002341814,cell_003284,cell_003284,6,1,2,10,45.7229143369879,"{""cafe_main"": 8.646647167633873, ""hospital_main"": 5.669373788524215, ""station_main"": 7.298743214511119, ""supermarket_main"": 24.10815016631869}"
41.00689651171163,29.193902397357075,cell_003175,cell_003175,5,1,2,10,45.18751114097841,"{""cafe_main"": 8.111243971624383, ""hospital_main"": 5.669373788524215, ""station_main"": 7.298743214511119, ""supermarket_main"": 24.10815016631869}"
