name,amenity,shop,longitude,latitude,market_type
Macro Center,,supermarket,29.0386236,41.2126339,unknown
Grup Gökkuşağı,,supermarket,28.236525,41.0799607,local
Bemsa Market,,supermarket,28.8993763,41.0354281,local
Kübra Market,,supermarket,28.8995206,41.0363444,local
Kopa Market,,supermarket,29.181437,41.0262897,local
Alahdab supermarket,,supermarket,28.9426869,41.0114521,local
Senel gida,,supermarket,28.9457107,41.0158279,local
ozaydin gida,,supermarket,28.9466201,41.0135015,local
Moni hal,,supermarket,28.9490367,41.0149149,local
Ecem supermarket,,supermarket,28.9487141,41.0141099,local
Hatay gida pazarı,,supermarket,28.9482924,41.0131083,local
sagin hipermarket,,supermarket,28.9489196,41.0120626,local
Vatan Market,,supermarket,28.9463622,41.0134843,local
Rammar supermarket,,supermarket,28.9544498,41.0231077,local
Saka Gida,,supermarket,28.9385676,41.0145068,local
Koç Yiğit Market,,supermarket,28.9382458,41.015543,local
Elaf Hipermarket,,supermarket,28.9454985,41.0120781,local
Şirket Alahdab,,supermarket,28.9428377,41.0115438,local
Bilad Elşam gida,,supermarket,28.9421511,41.0117219,local
Alkan Supermarket,,supermarket,28.9438677,41.0133329,local
Haci Bayramoğlu Supermarket,,supermarket,28.9424944,41.0125477,local
Alrdvan Şirket,,supermarket,28.9435968,41.011514,local
Fuar Gida,,supermarket,28.9441971,41.012589,local
Burada supermarket,,supermarket,28.9414285,41.0153944,local
Erciyes Büfe,,supermarket,28.9582939,41.0229739,local
Aydın Süpermarket,,supermarket,28.9590764,41.0228458,local
Müzik Aletleri Çarşısı,,supermarket,28.9587314,41.0202639,local
Beydağ Peynircilik,,supermarket,28.9601357,41.0224516,local
Yeşil Gida,,supermarket,28.9604191,41.0231406,local
Haydar Gida Market,,supermarket,28.9560484,41.0227479,local
Rammar supermarket,,supermarket,28.9543532,41.0230976,local
Çarşamba Süt ve Süt Ürünleri,,supermarket,28.9525176,41.0248509,local
Yunus Tuba Gıda,,supermarket,28.9557083,41.0270709,local
Vefa Kuruyemiş,,supermarket,28.9553761,41.026799,local
Stan Market,,supermarket,28.9544159,41.0235151,local
Yardımlar Market,,supermarket,28.9540653,41.0236248,local
UCZ Market,,supermarket,28.9515533,41.0229174,local
Kardeşler Gida Pazarı,,supermarket,28.9509722,41.024766,local
