name,amenity,shop,longitude,latitude,market_type
Öz Uğur Hipermarketleri,,supermarket,29.094412,41.0491037,local
Onur Market,,supermarket,28.5370191,41.0082341,chain
Balya Organik Health Food Store,,supermarket,28.9818358,41.0291038,local
Şok,,supermarket,29.3794767,40.8919803,chain
Green Store,,supermarket,29.3797277,40.8917659,local
Grosper,,supermarket,29.0809857,41.0902558,local
Papoğlu,,supermarket,29.0866926,41.0941598,local
Kim,,supermarket,28.9423489,41.0109559,local
Hakmar,,supermarket,29.1454908,41.0056099,chain
Çağrı Semt,,supermarket,29.1458093,41.0058083,local
Papoğlu Market,,supermarket,29.1438815,41.0044501,local
Özkuruşlar,,supermarket,29.0684351,41.0762341,local
Onur,,supermarket,28.8224151,40.9590034,local
CarrefourSA,,supermarket,29.0855773,40.9928885,chain
CarrefourSA,,supermarket,28.7966895,41.006763,chain
BİM,,supermarket,28.465104,41.1402307,local
BİM,,supermarket,28.4598479,41.1443685,local
BİM,,supermarket,28.6309325,41.0084231,local
BİM,,supermarket,28.8477204,40.9930263,local
Migros,,supermarket,28.9946608,41.0507973,chain
Migros,,supermarket,29.0223665,41.103138,chain
BİM,,supermarket,28.9775263,41.0636536,local
BİM,,supermarket,28.9653027,41.064129,local
A101,,supermarket,29.1912594,40.9173377,chain
Migros,,supermarket,28.8387953,40.9638535,chain
Migros,,supermarket,28.6876303,41.0611008,chain
Şok,,supermarket,29.1823031,40.9572478,chain
Kardeşler Market,,supermarket,29.0298452,41.0365122,local
A101,,supermarket,29.1300095,40.8746028,chain
Şok,,supermarket,29.0290932,41.0725696,chain
Lider Market,,supermarket,29.0280504,41.0711946,local
Migros,,supermarket,29.0291203,41.0686588,chain
MMM Migros,,supermarket,29.0191955,41.0751936,chain
Migros,,supermarket,29.0136406,41.0762457,chain
Macrocenter,,supermarket,29.0267158,41.0772391,unknown
Şok,,supermarket,29.0858158,40.9943999,chain
BİM,,supermarket,29.0860162,40.9958774,local
CarrefourSA,,supermarket,29.0276505,41.0921795,chain
Onur,,supermarket,28.8379133,40.9639119,local
Biçen,,supermarket,28.6545908,41.0142497,local
Uyum Market,,supermarket,29.2976404,40.926075,local
fabrika satış mağazası,,supermarket,29.0253714,41.0504422,local
Western Union,,supermarket,29.0254696,41.0503123,local
CarrefourSA,,supermarket,28.998482,41.0630709,chain
BİM,,supermarket,28.999054,41.0626366,local
A101,,supermarket,29.1826786,41.0244893,chain
Migros,,supermarket,29.6088674,41.1698802,chain
Lider Süpermarket,,supermarket,28.9300414,41.0786951,local
Şok,,supermarket,28.9303047,41.0789631,chain
A101,,supermarket,29.1424102,40.981574,chain
BİM,,supermarket,28.8978087,41.0971809,local
Grup Gökkuşağı,,supermarket,28.8952628,41.0945124,local
A101,,supermarket,28.8978369,41.0969622,chain
Migros,,supermarket,29.0025135,41.0430227,chain
BİM,,supermarket,28.951642,41.0085786,local
Şok,,supermarket,28.8918447,41.0970541,chain
ALBI EXPRESS,,supermarket,29.0432936,41.1057435,local
Happy Center,,supermarket,29.0426441,41.1063127,unknown
Happy Center,,supermarket,29.0468498,41.1041588,unknown
Şok,,supermarket,29.0944367,41.0345823,chain
Başarı Gelişim,,supermarket,28.8651619,41.004339,local
A101,,supermarket,28.8888279,41.0314491,chain
Happy Center,,supermarket,28.8878168,41.0366691,unknown
BİM,,supermarket,28.8874699,41.0363496,local
Gri,,supermarket,28.8828499,41.0335703,local
Shopping,,supermarket,28.8947276,41.0340234,unknown
A101,,supermarket,28.8810879,41.0277382,chain
A101,,supermarket,28.8919868,41.0339967,chain
A101,,supermarket,28.8858047,41.0351773,chain
Çağrı Semt,,supermarket,28.8827271,41.0335318,local
Kim,,supermarket,28.8948085,41.0335585,local
Biçen,,supermarket,28.8808869,41.0284597,local
BİM,,supermarket,28.8829449,41.0334565,local
A101,,supermarket,28.8854745,41.0338532,chain
BİM,,supermarket,28.8927413,41.0341514,local
BİM,,supermarket,28.8797271,41.0279477,local
Harman Organik ve Yöresel Ürünler,,supermarket,28.8847042,41.0049723,local
File Market,,supermarket,28.7799353,41.0583075,chain
Happy Center,,supermarket,28.7824791,41.0441672,unknown
Migros,,supermarket,29.2899435,41.1022751,chain
A101,,supermarket,29.2870374,41.0895797,chain
Karday Süpermarket,,supermarket,28.8693152,41.0168058,local
BİM,,supermarket,28.8726829,41.0157658,local
Türkiye İş Bankası,bank,supermarket,29.6083722,41.1740014,local
Tatbak,,supermarket,29.1908031,41.0213789,local
CarrefourSA,,supermarket,29.0639707,40.9685618,chain
A101,,supermarket,28.9925671,41.1791371,chain
A101,,supermarket,28.4965401,41.2318974,chain
BİM,,supermarket,28.9166953,41.160202,local
Uyum Süpermarket,,supermarket,29.1675634,40.9548365,local
CarrefourSA,,supermarket,29.0099798,41.0664947,chain
İtimat,,supermarket,29.0784127,40.9903985,local
A101,,supermarket,28.4557372,41.0309813,chain
7renk Tekeller,,supermarket,29.1449456,40.973594,local
Derecik market,,supermarket,29.1446289,40.9737099,local
A101,,supermarket,29.1447001,40.9724197,chain
Şok,,supermarket,28.9868402,41.0307533,chain
Hakmar,,supermarket,29.1758126,40.9859965,chain
Şok,,supermarket,28.910813,40.996465,chain
Şok,,supermarket,28.876224,40.9863646,chain
Şok,,supermarket,28.903658,40.989238,chain
BİM,,supermarket,28.8988178,41.00031,local
BİM,,supermarket,28.9717765,41.0076393,local
Şok,,supermarket,29.0267399,41.017259,chain
Şok,,supermarket,28.9117339,41.035885,chain
Şok,,supermarket,28.935152,41.0017084,chain
BİM,,supermarket,28.9318212,41.0067511,local
BİM,,supermarket,28.9857791,41.068752,local
Şok,,supermarket,28.98623,41.04321,chain
Şok,,supermarket,28.9880462,41.032801,chain
Şok,,supermarket,28.8213739,40.958491,chain
Migros,,supermarket,28.7811813,41.0569275,chain
Akmar Hipermarket,,supermarket,29.1821113,41.0306498,local
Şok,,supermarket,29.117294,41.0074259,chain
BİM,,supermarket,29.1499954,40.9423958,local
Şok,,supermarket,29.1514095,40.9425013,chain
BİM,,supermarket,29.1488052,40.9359701,local
A101,,supermarket,29.1480422,40.9348899,chain
A101,,supermarket,29.1542675,40.9408791,chain
Erdoğan Market,,supermarket,28.2402913,41.0862419,local
Erçağ,,supermarket,28.2405527,41.0835823,local
A101,,supermarket,28.2404405,41.0829181,chain
Onur Market,,supermarket,28.2497191,41.0794715,chain
A101,,supermarket,28.2459308,41.0820397,chain
Çankaya Tekel,,supermarket,29.0897187,40.9607353,local
Şok,,supermarket,29.0961156,40.9630211,chain
BİM,,supermarket,29.0963136,40.9627067,local
BİM,,supermarket,29.1445917,40.9267547,local
A101,,supermarket,29.1323364,41.0141024,chain
BİM,,supermarket,29.1308938,41.0154421,local
Çağrı Market,,supermarket,29.1317065,41.017071,local
Demkarlar Market,,supermarket,29.1307032,41.0167332,local
Şok,,supermarket,29.131242,41.0169369,chain
A101,,supermarket,28.8881665,41.0737943,chain
Migros,,supermarket,29.4378647,41.1936931,chain
Ateş Market,,supermarket,29.4392963,41.1935455,local
BİM,,supermarket,28.5354075,41.0057736,local
Çağrı Market,,supermarket,29.1810388,40.9035131,local
Şok,,supermarket,28.8945491,41.0707991,chain
A101,,supermarket,29.2401772,41.0487802,chain
Şok,,supermarket,29.2198141,41.0087737,chain
A101,,supermarket,29.1825866,40.907661,chain
Hider Gıda,,supermarket,29.1739826,41.0327714,local
süper market,,supermarket,29.2149524,41.0097638,local
Arzum Gıda,,supermarket,29.2220092,41.0100653,local
A101,,supermarket,29.1778998,41.032689,chain
Şok,,supermarket,29.140963,40.9251509,chain
BİM,,supermarket,29.1186799,40.9463131,local
BİM,,supermarket,29.1804514,40.9079729,local
Biçen,,supermarket,28.5378587,41.006979,local
Happy Center,,supermarket,28.535773,41.00974,unknown
BİM,,supermarket,28.5366782,41.0099697,local
Biçen,,supermarket,28.5361746,41.0084657,local
Fatih Super Market,,supermarket,28.5331047,41.0037169,local
Aslanlar Grup Ekonomik Halk Pazarı,,supermarket,28.5331181,41.0041157,local
Metmar,,supermarket,28.5332952,41.00431,local
BİM,,supermarket,28.8876144,41.0725065,local
Şok,,supermarket,29.0900008,40.9628835,chain
Şok,,supermarket,29.1428719,40.9273894,chain
A101,,supermarket,29.2094658,41.0106116,chain
Erarslan Market,,supermarket,29.0417331,41.0195365,local
CarrefourSA,,supermarket,29.0411795,41.0179868,chain
Gimtaş,,supermarket,29.0822897,40.9590562,local
Mopaş,,supermarket,29.214998,41.0085893,local
Ton Market,,supermarket,29.1544875,40.9398591,local
