name,shop,leisure,longitude,latitude
Tozkoparan Spor Salonu,,fitness_centre,28.8949953,41.0129305
Sultan Osman Hamami,,fitness_centre,28.9734672,41.0063748
Pro Gold Gym,,fitness_centre,28.8045571,41.0462072
Pilates Demet Topa,,fitness_centre,29.0283499,40.9837843
Ness Qwert,,fitness_centre,28.8934438,40.9928975
NOA Gym,,fitness_centre,28.9761697,41.0261338
HB Fitness,,fitness_centre,29.1146563,40.9841084
Ahmet Koç Gym & Fitness,,fitness_centre,28.6751195,41.0316335
9Round,,fitness_centre,29.0318289,41.0795491
Flash Gym,,fitness_centre,28.9766848,41.0333031
MACFit,,fitness_centre,29.0648178,40.9674907
Pro Studio Pilates,,fitness_centre,29.2328565,40.8760114
performance gym clup,,fitness_centre,29.2237689,41.0310467
Level UP Pilates&Personal Training Studio,,fitness_centre,29.0734038,40.9646375
Bfit,,fitness_centre,29.1007791,40.953328
MACFit,,fitness_centre,28.9101313,41.0533244
Oxygen Fitness,,fitness_centre,29.1412821,40.9993675
Fitamine,,fitness_centre,29.1093084,40.9793656
Luna Pilates Studio,,fitness_centre,29.1140552,40.9794444
Eureko Sigorta,,fitness_centre,29.0441104,41.0207141
Fit Club,,fitness_centre,29.1180116,40.9790745
Cadde Fitness Club,,fitness_centre,29.046628,40.9739564
Eagle Fitness Center,,fitness_centre,29.22693,40.9021813
Golden Life Sports & Fitness,,fitness_centre,29.2251345,40.9090998
FLAMINGO,,fitness_centre,28.8873612,41.0211987
Pilates in Paradise,,fitness_centre,29.1101672,40.9840767
MACFit,,fitness_centre,29.0837158,40.9722487
My Studio Pilates,,fitness_centre,29.1198085,40.9823608
She Club,,fitness_centre,28.6509984,40.998955
Maestro,,fitness_centre,29.0260303,40.983541
The Moon,,fitness_centre,29.0312625,40.9866392
Red&Black Fitness,,fitness_centre,28.8629343,41.1020069
En Fit Body,,fitness_centre,29.0839988,40.9602362
Akın Fit Club,,fitness_centre,28.9343173,41.0744575
FitnessMax PT Studio,,fitness_centre,29.1741811,41.0331967
MACFit,,fitness_centre,29.0559135,40.9731311
90216 Gym,,fitness_centre,29.1240568,40.9785318
Room,,fitness_centre,29.1150941,40.9816337
Relax Gym,,fitness_centre,28.8637101,41.1011997
Blue beach Büyükada,,fitness_centre,29.1224453,40.8724743
USA Team Fitness & Fight Club,,fitness_centre,29.0269611,40.9917836
Sports Factory,,fitness_centre,29.088559,40.9712847
Non Stop Fitness,,fitness_centre,29.307862,40.8297207
Gym Beam,,fitness_centre,29.0866842,40.9661342
Hercules Fitness Center,,fitness_centre,29.306262,40.9123601
Galanthus Pilates,,fitness_centre,28.8256282,41.0238385
Galanthus Pilates,,fitness_centre,28.825437,41.023461
City's Pilates,,fitness_centre,29.0658111,40.9678928
Garduf,,fitness_centre,29.0907019,40.9654611
Songül Kara Pilates Stüdyo,,fitness_centre,29.0957431,40.9747277
Jump&Fly Studio,,fitness_centre,29.3674162,40.9362726
Atlantis Sport Club,,fitness_centre,29.3101426,40.9281228
