name,amenity,shop,leisure,longitude,latitude,pool_norm,exact_hit,fuzzy_match,fuzzy_score,fuzzy_hit,is_avm
Oruç,,mall,,29.2614669,40.9688117,oruc,False,torium,60.0,False,False
Göymen Hipermarketleri,,mall,,29.2799807,40.9822631,goymen hipermarketleri,False,green park,50.0,False,False
2. Matbaacılar Sitesi,,mall,,28.9216,41.0363902,2 matbaac lar sitesi,False,atakoy plus al sveris,43.90243902439025,False,False
Show Center,,mall,,28.9066908,41.0091089,show,False,astoria,36.36363636363637,False,False
2. Matbaacılar Sitesi,,mall,,28.9186202,41.0248815,2 matbaac lar sitesi,False,atakoy plus al sveris,43.90243902439025,False,False
Ülker,,mall,,28.9122269,41.0208384,ulker,False,galleria,46.15384615384615,False,False
Burda,,mall,,28.902977,41.0037237,burda,False,bauhaus,50.0,False,False
Bizim Toptan Market,,mall,,28.9195331,41.0013557,bizim toptan market,False,m1 meydan merter,45.714285714285715,False,False
Textil Port,,mall,,28.9139851,41.0031981,textil port,False,deposite outlet,53.84615384615385,False,False
ÖRNEK,,mall,,28.8597885,41.0462314,ornek,False,green park,40.0,False,False
Redstar,,mall,,28.8284752,41.0236939,redstar,False,starcity,53.333333333333336,False,False
Asya nakis,,mall,,28.8282815,41.0226934,asya nakis,False,kadir has,52.63157894736842,False,False
Gormez avm,,mall,,28.8439841,41.0408874,gormez,False,torium,50.0,False,False
Kiler GYO,,mall,,28.8302934,41.0445838,kiler gyo,False,galleria,47.05882352941177,False,False
E-Bebek,,mall,,28.8641597,40.9960597,e bebek,False,tekmerkez,50.0,False,False
Mopaş,,mall,,29.1228296,40.9348051,mopas,False,autopia,50.0,False,False
Halep Pasajı,,mall,,28.9790916,41.0345008,halep pasaj,False,galleria,42.10526315789474,False,False
Gür Çarşı İş Hanı,,mall,,28.8740015,40.979692,gur cars is han,False,sapphire cars,50.0,False,False
BOMONTİ PARK,,mall,,28.9819133,41.0549874,bomonti park,False,green park,57.142857142857146,False,False
Konsept Plaza A-Blok,,mall,,28.8870567,41.0115441,konsept plaza a blok,False,mesa studio plaza,54.054054054054056,False,False
Konsept Plaza B-Blok,,mall,,28.8872478,41.0112129,konsept plaza b blok,False,mesa studio plaza,48.648648648648646,False,False
Collesium Mall,,mall,,28.8874106,41.011464,collesium,False,torium,53.333333333333336,False,False
Real Merter AVM,,mall,,28.8799695,41.0214353,real merter,False,m1 meydan merter,70.58823529411765,False,False
Yön AVM,,mall,,29.2334008,40.8780435,yon,False,kanyon al sveris,31.578947368421055,False,False
medikule avm,,mall,,28.7748725,41.094122,medikule,False,espri outlet,50.0,False,False
Byz Dizayn,,mall,,28.96621,41.0157676,byz dizayn,False,beyaz city,60.0,False,False
Sedef Perde,,mall,,28.7860451,41.0017523,sedef perde,False,paradise,52.63157894736842,False,False
