name,amenity,longitude,latitude,health_type,name_norm
Beykoz Devlet Hastanesi Toplum Ruh Sağlığı Merkezi,hospital,29.093447450000006,41.15392655,hospital,beykoz devlet hastanesi toplum ruh saglıgı merkezi
Başakşehir Çam ve Sakura Şehir Hastanesi,hospital,28.7762127957518,41.10503112367816,hospital,basaksehir cam ve sakura sehir hastanesi
SBÜ Bağcılar Eğitim ve Araştırma Hastanesi Güneşli Semt Polikliniğ,hospital,28.83228418294879,41.03566037436463,hospital,sbu bagcılar egitim ve arastırma hastanesi gunesli semt poliklinig
Sancaktepe Prof. Dr. Feriha Öz Acil Durum Hastanesi,hospital,29.209957464657645,41.00018882923803,hospital,sancaktepe prof. dr. feriha oz acil durum hastanesi
İstanbul Fizik Tedavi ve Rehabilitasyon Eğitim Ve Araştırma Hastanesi,hospital,28.854577682237583,40.99520021816642,hospital,istanbul fizik tedavi ve rehabilitasyon egitim ve arastırma hastanesi
Sarıyer İsmail Akgün Devlet Hastanesi,hospital,29.056711427380595,41.16942431331889,hospital,sarıyer ismail akgun devlet hastanesi
Silivri Kolan Hastanesi,hospital,28.25842109863334,41.07206961086631,hospital,silivri kolan hastanesi
Acıbadem Dr. Şinasi Can (Kadıköy) Hastanesi,hospital,29.042966306592955,41.007166288590255,hospital,acıbadem dr. sinasi can (kadıkoy) hastanesi
Yedikule Surp Pırgiç Ermeni Hastanesi,hospital,28.915355815051843,40.99377735184313,hospital,yedikule surp pırgic ermeni hastanesi
Özel Ataşehir Florence Nightingale Hastanesi,hospital,29.108752878251064,40.98476523121047,hospital,ozel atasehir florence nightingale hastanesi
Beykent Üniversitesi Hastanesi,hospital,28.626252410196503,41.01751914695499,hospital,beykent universitesi hastanesi
Çağıner Hastanesi,hospital,29.04514941472152,40.996182402888685,hospital,cagıner hastanesi
Sultangazi Haseki Eğitim ve Araştırma Hastanesi,hospital,28.87315074009046,41.104779842330345,hospital,sultangazi haseki egitim ve arastırma hastanesi
Erdem Hastanesi,hospital,29.082244434292928,41.02517495929437,hospital,erdem hastanesi
Silivri Devlet Hastanesi,hospital,28.25013467580625,41.07790331877939,hospital,silivri devlet hastanesi
Sultanbeyli Devlet Hastanesi,hospital,29.28391860231136,40.985594466020686,hospital,sultanbeyli devlet hastanesi
Sarıyer Hamidiye Etfal Eğitim ve Araştırma Hastanesi,hospital,29.027557485284284,41.1578740444565,hospital,sarıyer hamidiye etfal egitim ve arastırma hastanesi
Kartal Kızılay Hastanesi,hospital,29.181927860679885,40.890894110215456,hospital,kartal kızılay hastanesi
Kartal Dr. Lütfi Kırdar Eğitim ve Araştırma Hastanesi Büyükada Ek Hizmet Binası,hospital,29.127906717148512,40.869982233682784,hospital,kartal dr. lutfi kırdar egitim ve arastırma hastanesi buyukada ek hizmet binası
Seyrantepe Hamidiye Etfal Eğitim ve Araştırma Hastanesi,hospital,28.996249819285485,41.10361886683653,hospital,seyrantepe hamidiye etfal egitim ve arastırma hastanesi
Eyüpsultan Devlet Hastanesi,hospital,28.940763079366075,41.05737786264425,hospital,eyupsultan devlet hastanesi
